City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Oktyabrskoye,RU,2021-09-08 13:04:55,43.0645,44.7417,55.54,77,90,6.71
263,Sorland,NO,2021-09-08 13:04:55,67.667,12.6934,51.87,71,90,17.27
264,Sainte-Anne-Des-Monts,CA,2021-09-08 13:00:21,49.124,-66.4924,59.86,78,60,5.44
265,Necochea,AR,2021-09-08 13:00:12,-38.5473,-58.7368,51.04,93,100,21.0
266,Maniitsoq,GL,2021-09-08 13:04:56,65.4167,-52.9,42.46,77,100,4.36
267,Zyryanka,RU,2021-09-08 13:04:56,65.75,150.85,34.03,84,100,22.53
268,Kaeo,NZ,2021-09-08 13:04:56,-35.1,173.7833,50.32,83,75,10.56
269,Okhotsk,RU,2021-09-08 13:04:57,59.3833,143.3,49.23,88,100,9.98
270,Mar Del Plata,AR,2021-09-08 13:04:57,-38.0023,-57.5575,53.62,94,90,20.71
271,Teya,RU,2021-09-08 13:04:57,60.3778,92.6267,50.92,76,37,4.7
272,Hithadhoo,MV,2021-09-08 13:04:57,-0.6,73.0833,83.52,67,4,3.83
273,Bengkulu,ID,2021-09-08 13:04:58,-3.8004,102.2655,76.24,85,98,3.44
274,Eldoret,KE,2021-09-08 13:04:58,0.5204,35.2699,69.85,57,61,2.26
275,Gari,RU,2021-09-08 13:04:58,59.4307,62.3497,45.68,83,100,6.58
276,Marsa Matruh,EG,2021-09-08 13:04:59,31.3525,27.2453,83.25,65,0,14.7
277,Sabang,ID,2021-09-08 13:04:59,5.8933,95.3214,81.82,73,100,21.0
278,Komsomolskoye,RU,2021-09-08 13:04:59,55.2567,47.5461,53.02,85,100,15.05
279,Banjar,ID,2021-09-08 13:04:59,-8.19,114.9675,80.46,84,6,7.96
280,Naze,JP,2021-09-08 13:05:00,28.3667,129.4833,79.74,79,65,1.07
281,La Asuncion,VE,2021-09-08 13:05:00,11.0333,-63.8628,83.01,74,100,13.24
282,Ati,TD,2021-09-08 13:02:14,13.2154,18.3353,84.65,58,100,8.34
283,Shubarkuduk,KZ,2021-09-08 13:05:01,49.1447,56.4872,63.95,23,3,13.49
284,Caravelas,BR,2021-09-08 13:05:01,-17.7125,-39.2481,77.22,71,78,7.36
285,Beringovskiy,RU,2021-09-08 13:05:01,63.05,179.3167,45.52,84,99,7.14
286,Okha,RU,2021-09-08 13:05:02,53.5739,142.9478,57.9,83,100,3.49
287,Huilong,CN,2021-09-08 13:05:02,31.8111,121.655,77.99,76,8,7.78
288,Cairns,AU,2021-09-08 13:05:04,-16.9167,145.7667,70.07,93,75,11.5
289,Iskateley,RU,2021-09-08 13:05:05,67.6803,53.1512,42.66,90,100,16.2
290,Fortuna,US,2021-09-08 13:05:05,40.5982,-124.1573,55.36,68,90,4.0
291,Mount Gambier,AU,2021-09-08 13:05:05,-37.8333,140.7667,54.91,62,84,10.96
292,Cabedelo,BR,2021-09-08 13:05:05,-6.9811,-34.8339,83.07,64,16,17.27
